2023.01.22 15:31:22 INFO  web[][DbMigrations] #2 'Populate initial schema': success | time=125ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3000 'Set Organizations#guarded column nullable'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3000 'Set Organizations#guarded column nullable': success | time=8ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3001 'Create ProjectQualityGates table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3001 'Create ProjectQualityGates table': success | time=9ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3002 'Make index on DEPRECATED_RULE_KEYS.RULE_ID non unique'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3002 'Make index on DEPRECATED_RULE_KEYS.RULE_ID non unique': success | time=10ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3003 'Populate ProjectQualityGate table from Properties table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3003 'Populate ProjectQualityGate table from Properties table': success | time=18ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3004 'Rename ANALYSIS_PROPERTIES.SNAPSHOT_UUID to ANALYSIS_UUID'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3004 'Rename ANALYSIS_PROPERTIES.SNAPSHOT_UUID to ANALYSIS_UUID': success | time=18ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3005 'Remove default quality gate property from Properties table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3005 'Remove default quality gate property from Properties table': success | time=20ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3006 'Create NEW_CODE_PERIOD table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3006 'Create NEW_CODE_PERIOD table': success | time=14ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3007 'Populate NEW_CODE_PERIOD table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3007 'Populate NEW_CODE_PERIOD table': success | time=25ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3008 'Remove leak period properties'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3008 'Remove leak period properties': success | time=14ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3009 'Remove GitHub login generation strategy property'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3009 'Remove GitHub login generation strategy property': success | time=14ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3100 'Create ALM_SETTINGS table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3100 'Create ALM_SETTINGS table': success | time=9ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3101 'Create PROJECT_ALM_SETTINGS table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3101 'Create PROJECT_ALM_SETTINGS table': success | time=10ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3102 'Migrate property 'sonar.alm.github.app.privateKey.secured' to 'sonar.alm.github.app.privateKeyContent.secured''...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3102 'Migrate property 'sonar.alm.github.app.privateKey.secured' to 'sonar.alm.github.app.privateKeyContent.secured'': success | time=21ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3103 'Migrate GitHub ALM settings from PROPERTIES to ALM_SETTINGS tables'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3103 'Migrate GitHub ALM settings from PROPERTIES to ALM_SETTINGS tables': success | time=11ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3104 'Migrate Bitbucket ALM settings from PROPERTIES to ALM_SETTINGS tables'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3104 'Migrate Bitbucket ALM settings from PROPERTIES to ALM_SETTINGS tables': success | time=10ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3105 'Migrate Azure ALM settings from PROPERTIES to ALM_SETTINGS tables'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3105 'Migrate Azure ALM settings from PROPERTIES to ALM_SETTINGS tables': success | time=8ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3106 'Delete 'sonar.pullrequest.provider' property'...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3106 'Delete 'sonar.pullrequest.provider' property': success | time=13ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3107 'Migrate default branches to keep global setting'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3107 'Migrate default branches to keep global setting': success | time=27ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3108 'Add EXCLUDE_FROM_PURGE column'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3108 'Add EXCLUDE_FROM_PURGE column': success | time=18ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3109 'Populate EXCLUDE_FROM_PURGE column'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3109 'Populate EXCLUDE_FROM_PURGE column': success | time=6ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3110 'Remove 'sonar.branch.longLivedBranches.regex''...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3110 'Remove 'sonar.branch.longLivedBranches.regex'': success | time=7ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3111 'Rename 'sonar.dbcleaner.daysBeforeDeletingInactiveShortLivingBranches' setting'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3111 'Rename 'sonar.dbcleaner.daysBeforeDeletingInactiveShortLivingBranches' setting': success | time=7ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3112 'Migrate short and long living branches types to common BRANCH type'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3112 'Migrate short and long living branches types to common BRANCH type': success | time=7ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3113 'Migrate short and long living branches types to common BRANCH type in ce tasks table'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3113 'Migrate short and long living branches types to common BRANCH type in ce tasks table': success | time=6ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3200 'Drop 'In Review' Security Hotspots status '...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3200 'Drop 'In Review' Security Hotspots status ': success | time=13ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3201 'Migrate Manual Vulnerabilities to Security Hotspots '...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3201 'Migrate Manual Vulnerabilities to Security Hotspots ': success | time=12ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3202 'Remove 'newsbox.dismiss.hotspots' user property'...
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3202 'Remove 'newsbox.dismiss.hotspots' user property': success | time=9ms
2023.01.22 15:31:22 INFO  web[][DbMigrations] #3203 'Ensure Security Hotspots have status TO_REVIEW'...
2023.01.22 15:31:22 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
